Entity Pair,Subject,Object,STV+AF8-sum,Rel+AF8-Count,Strength,overall
14,Aleksandr+AF8-Solzhenitsyn,The+AF8-First+AF8-Circle,0.4475468695,1,114.5207735723,51.253413705
15,Aleksandr+AF8-Solzhenitsyn,Cancer+AF8-Ward,0.4276425838,1,109.4275546245,46.7958821985
16,Aleksandr+AF8-Solzhenitsyn,August+AF8-1914,0.4070726633,1,104.1640093546,42.402320708
17,Aleksandr+AF8-Solzhenitsyn,One+AF8-Day+AF8-in+AF8-the+AF8-Life+AF8-of+AF8-Ivan+AF8-Denisovich+AF8AXw-film+AF8-,0.4475468397,1,114.5207659469,51.2534068795
18,Aleksandr+AF8-Solzhenitsyn,Two+AF8-Hundred+AF8-Years+AF8-Together,0.4276425838,1,109.4275546245,46.7958821985
19,Afonso+AF8-I+AF8-of+AF8-Portugal,Sancho+AF8-I+AF8-of+AF8-Portugal,0.4319685698,1,110.5345118997,47.7474350188
20,Amitabh+AF8-Bachchan,Silsila+AF8AXw-film+AF8-,0.4545196891,1,116.3050172996,52.8629203038
21,Amitabh+AF8-Bachchan,Jaya+AF8-Bachchan,0.8781985938,2,112.3591618733,98.6736579577
22,Amitabh+AF8-Bachchan,Mrityudata,0.4420254827,1,113.1079305147,49.9965875829
23,Amitabh+AF8-Bachchan,Amar+AF8-Akbar+AF8-Anthony,0.471540451,1,120.660384195,56.8962519811
24,Amitabh+AF8-Bachchan,Abhimaan+AF8AXw-1973+AF8-film+AF8-,0.4276425838,1,109.4275546245,46.7958821985
25,Amitabh+AF8-Bachchan,Zanjeer,0.4276425838,1,109.4275546245,46.7958821985
26,Amitabh+AF8-Bachchan,Anand+AF8AXw-1971+AF8-film+AF8-,0.4584060609,1,117.2994836566,53.7707942486
27,Amitabh+AF8-Bachchan,Saat+AF8-Hindustani,0.416775465,1,106.6468160331,44.447776343
28,Amitabh+AF8-Bachchan,Baabul+AF8AXw-2006+AF8-film+AF8-,0.4276425838,1,109.4275546245,46.7958821985
29,Amitabh+AF8-Bachchan,Bade+AF8-Miyan+AF8-Chote+AF8-Miyan,0.934304893,1,239.0751145645,223.3690493322
30,Amitabh+AF8-Bachchan,Paheli,0.3989317715,1,102.0808728386,40.7233034378
31,Amitabh+AF8-Bachchan,Kyun+ACEAXw-Ho+AF8-Gaya+AF8-Na...,0.4276426435,1,109.4275699008,46.7958952642
32,Amitabh+AF8-Bachchan,Kabhi+AF8-Alvida+AF8-Naa+AF8-Kehna,0.4773312807,1,122.1421737953,58.3022802452
33,Amitabh+AF8-Bachchan,Bunty+AF8-Aur+AF8-Babli,0.4143873155,1,106.0357231023,43.9398586435
34,Amitabh+AF8-Bachchan,Sarkar+AF8AXw-film+AF8-,0.4276425838,1,109.4275546245,46.7958821985
35,Amitabh+AF8-Bachchan,Parwana+AF8AXw-1971+AF8-film+AF8-,0.4258196354,1,108.9610884839,46.397770971
36,Amitabh+AF8-Bachchan,Kaala+AF8-Patthar,0.5013662577,1,128.292376928,64.3214689118
37,Amitabh+AF8-Bachchan,Bombay+AF8-to+AF8-Goa,0.4276425838,1,109.4275546245,46.7958821985
38,Amitabh+AF8-Bachchan,Baghban+AF8AXw-film+AF8-,0.4276425838,1,109.4275546245,46.7958821985
39,Amitabh+AF8-Bachchan,Viruddh...+AF8-Family+AF8-Comes+AF8-First,0.8346429169,2,106.7865278633,89.1286191015
40,Amitabh+AF8-Bachchan,Aag+AF8AXw-2007+AF8-film+AF8-,0.4276425838,1,109.4275546245,46.7958821985
41,Amitabh+AF8-Bachchan,Sarkar+AF8-Raj,0.5670258403,1,145.0937148531,82.2718855868
42,Amitabh+AF8-Bachchan,Mard,0.5055041313,1,129.3511989596,65.3875654627
43,Amitabh+AF8-Bachchan,Boom+AF8AXw-2003+AF8-film+AF8-,0.3927882016,1,100.5088221208,39.4786794858
44,Amitabh+AF8-Bachchan,Armaan+AF8AXw-2003+AF8-film+AF8-,0.4062177241,1,103.9452427735,42.2243999505
45,Amitabh+AF8-Bachchan,Roti+AF8-Kapda+AF8-Aur+AF8-Makaan,0.4379006922,1,112.0524562592,49.0678481586
46,Amitabh+AF8-Bachchan,Andha+AF8-Kanoon,0.3860255778,1,98.7783644599,38.1309752148
47,Amitabh+AF8-Bachchan,Trishul+AF8AXw-film+AF8-,0.418163985,1,107.0021182268,44.7444321611
48,Amitabh+AF8-Bachchan,Don+AF8AXw-1978+AF8-film+AF8-,0.414283067,1,106.0090474183,43.9177532942
49,Amitabh+AF8-Bachchan,Shaan+AF8AXw-film+AF8-,0.4470738173,1,114.3997263534,51.1451223589
50,Amitabh+AF8-Bachchan,Muqaddar+AF8-Ka+AF8-Sikandar,0.4276425838,1,109.4275546245,46.7958821985
51,Amitabh+AF8-Bachchan,Majboor,0.4276426435,1,109.4275699008,46.7958952642
52,Amitabh+AF8-Bachchan,Parvarish+AF8AXw-1977+AF8-film+AF8-,0.4402164221,1,112.6450180613,49.5881868183
53,Amitabh+AF8-Bachchan,Kasme+AF8-Vaade,0.3957529068,1,101.2674473197,40.076886641
54,Amitabh+AF8-Bachchan,Khud+AC0-Daar,0.4305918813,1,110.1822372157,47.4435768086
55,Amitabh+AF8-Bachchan,Namak+AF8-Halaal,0.5623805523,1,143.9050528123,80.9294030794
56,Amitabh+AF8-Bachchan,Namak+AF8-Haraam,0.4475468695,1,114.5207735723,51.253413705
57,Amitabh+AF8-Bachchan,Aetbaar,0.4154197276,1,106.2999024328,44.1590765125
58,Amitabh+AF8-Bachchan,Shootout+AF8-at+AF8-Lokhandwala,0.4276425838,1,109.4275546245,46.7958821985
59,Amitabh+AF8-Bachchan,Ram+AF8-Balram,0.4254615903,1,108.8694699192,46.3197778069
60,Amitabh+AF8-Bachchan,Aakhree+AF8-Raasta,0.5763933659,1,147.4907292247,85.0126778569
61,Amitabh+AF8-Bachchan,Shakti+AF8AXw-1982+AF8-film+AF8-,0.4065217078,1,104.0230278075,42.2876189148
62,Amitabh+AF8-Bachchan,Aankhen+AF8AXw-2002+AF8-film+AF8-,0.4091893435,1,104.7056372163,42.8444309533
63,Amitabh+AF8-Bachchan,Kabhi+AF8-Kabhie,0.4276425838,1,109.4275546245,46.7958821985
64,Amitabh+AF8-Bachchan,Ajooba,0.4606230557,1,117.8667805741,54.2921566336
65,Amitabh+AF8-Bachchan,God+AF8-Tussi+AF8-Great+AF8-Ho,0.568374157,1,145.4387296035,82.6636153336
66,Amitabh+AF8-Bachchan,Bhoothnath,0.4276425838,1,109.4275546245,46.7958821985
67,Amitabh+AF8-Bachchan,Hum+AF8-Kisi+AF8-Se+AF8-Kum+AF8-Nahi,0.4722478986,1,120.841409808,57.0671018457
68,Amitabh+AF8-Bachchan,Ab+AF8-Tumhare+AF8-Hawale+AF8-Watan+AF8-Saathiyo,0.3927882314,1,100.5088297462,39.4786854761
69,Amitabh+AF8-Bachchan,Desh+AF8-Premee,0.5164126754,1,132.1425376864,68.2400814208
70,Amitabh+AF8-Bachchan,Hum+AF8AXw-film+AF8-,0.4276425838,1,109.4275546245,46.7958821985
71,Amitabh+AF8-Bachchan,Reshma+AF8-Aur+AF8-Shera,0.4276425838,1,109.4275546245,46.7958821985
72,Amitabh+AF8-Bachchan,Coolie+AF8AXw-1983+AF8-film+AF8-,0.4276425838,1,109.4275546245,46.7958821985
73,Amitabh+AF8-Bachchan,Indrajeet,0.4940722883,1,126.4259556099,62.4635611887
74,Amitabh+AF8-Bachchan,Lawaaris+AF8AXw-1981+AF8-film+AF8-,0.4276425838,1,109.4275546245,46.7958821985
75,Amitabh+AF8-Bachchan,Akayla,0.4242300987,1,108.5543490228,46.0520222003
76,Amitabh+AF8-Bachchan,Yaarana+AF8AXw-1981+AF8-film+AF8-,0.3927882314,1,100.5088297462,39.4786854761
77,Amitabh+AF8-Bachchan,Tere+AF8-Mere+AF8-Sapne+AF8AXw-1996+AF8-film+AF8-,0.4396559894,1,112.5016114357,49.4620072849
78,Amitabh+AF8-Bachchan,The+AF8-Great+AF8-Gambler,0.4143873155,1,106.0357231023,43.9398586435
79,Amitabh+AF8-Bachchan,Hindustan+AF8-Ki+AF8-Kasam+AF8AXw-1999+AF8-film+AF8-,0.4276425838,1,109.4275546245,46.7958821985
80,Amitabh+AF8-Bachchan,Allahabad,0.4049160779,1,103.6121703293,41.9542336324
81,Amitabh+AF8-Bachchan,Sharaabi,0.9446027279,1,241.7101816363,228.3200969348
82,Amitabh+AF8-Bachchan,Suhaag+AF8AXw-1979+AF8-film+AF8-,0.4365055859,1,111.6954687265,48.7556960188
83,Amitabh+AF8-Bachchan,Main+AF8-Azaad+AF8-Hoon,0.4402164221,1,112.6450180613,49.5881868183
84,Amitabh+AF8-Bachchan,Bemisal,0.411786288,1,105.3701577689,43.3899861336
85,Amitabh+AF8-Bachchan,Naseeb+AF8AXw-1981+AF8-film+AF8-,0.4634473324,1,118.5894721501,54.9599745187
86,Amitabh+AF8-Bachchan,Kaalia,0.4276426435,1,109.4275699008,46.7958952642
87,Amitabh+AF8-Bachchan,Do+AF8-Aur+AF8-Do+AF8-Paanch,0.467041105,1,119.5090666021,55.8156465234
88,Amitabh+AF8-Bachchan,Dostana+AF8AXw-1980+AF8-film+AF8-,0.4463981986,1,114.2268452957,50.9906579717
89,Amitabh+AF8-Bachchan,Khoon+AF8-Pasina,0.4276425838,1,109.4275546245,46.7958821985
90,Amitabh+AF8-Bachchan,Mr.+AF8-Natwarlal,0.4276425838,1,109.4275546245,46.7958821985
91,Amitabh+AF8-Bachchan,Ganga+AF8-Ki+AF8-Saugandh,0.4276425838,1,109.4275546245,46.7958821985
92,Amitabh+AF8-Bachchan,Aadalat,0.4116343558,1,105.3312805155,43.3579738006
93,Amitabh+AF8-Bachchan,Immaan+AF8-Dharam,0.4474327564,1,114.4915736797,51.2272803961
94,Amitabh+AF8-Bachchan,Do+AF8-Anjaane,0.4402164221,1,112.6450180613,49.5881868183
95,Amitabh+AF8-Bachchan,Alaap,0.4276425838,1,109.4275546245,46.7958821985
96,Amitabh+AF8-Bachchan,Zameer+AF8AXw-1974+AF8-film+AF8-,0.4276425838,1,109.4275546245,46.7958821985
97,Amitabh+AF8-Bachchan,Faraar,0.3849399984,1,98.500580386,37.9168132562
98,Amitabh+AF8-Bachchan,Mahaan,0.5085251331,1,130.1242296446,66.1714411996
99,Amitabh+AF8-Bachchan,Nastik+AF8AXw-film+AF8-,0.4085102677,1,104.5318715367,42.7023428246
100,Amitabh+AF8-Bachchan,Geraftaar,0.4203598499,1,107.5640083083,45.2155903871
101,Amitabh+AF8-Bachchan,Jurmana,0.427351743,1,109.3531326685,46.7322518484
102,Amitabh+AF8-Bachchan,Besharam,0.5593721271,1,143.1352402975,80.0658638282
103,Amitabh+AF8-Bachchan,Insaniyat+AF8AXw-1994+AF8-film+AF8-,0.4276425838,1,109.4275546245,46.7958821985
104,Amitabh+AF8-Bachchan,Khuda+AF8-Gawah,0.4276425838,1,109.4275546245,46.7958821985
105,Amitabh+AF8-Bachchan,Bandhe+AF8-Haath,0.5163173676,1,132.1181497983,68.214895316
106,Amitabh+AF8-Bachchan,Hera+AF8-Pheri+AF8AXw-1976+AF8-film+AF8-,0.4163707495,1,106.5432551877,44.3614950167
107,Amitabh+AF8-Bachchan,Jaadugar,0.4276425838,1,109.4275546245,46.7958821985
108,Amitabh+AF8-Bachchan,Teen+AF8-Patti+AF8AXw-film+AF8-,0.4191691279,1,107.2593197632,44.9597955243
109,Amitabh+AF8-Bachchan,Amrithadhare,0.4219606817,1,107.9736380222,45.5606299055
110,Amitabh+AF8-Bachchan,Black+AF8AXw-film+AF8-,0.3854900002,1,98.641317895,38.0252416551
111,Amitabh+AF8-Bachchan,Pyar+AF8-Ki+AF8-Kahani,0.4276425838,1,109.4275546245,46.7958821985
112,Amitabh+AF8-Bachchan,Sanjog+AF8AXw-film+AF8-,0.4276425838,1,109.4275546245,46.7958821985
113,Amitabh+AF8-Bachchan,Bansi+AF8-Birju,0.5397354364,1,138.1104950414,74.5431283126
114,Amitabh+AF8-Bachchan,Ek+AF8-Nazar,0.4276425838,1,109.4275546245,46.7958821985
115,Amitabh+AF8-Bachchan,Raaste+AF8-Kaa+AF8-Patthar,0.4386642873,1,112.2478492057,49.2391227728
116,Amitabh+AF8-Bachchan,Major+AF8-Saab,0.4276426733,1,109.4275775262,46.7959017861
117,Amitabh+AF8-Bachchan,Delhi+AC0-6,0.4373797476,1,111.9191540675,48.9511713576
118,Amitabh+AF8-Bachchan,Benaam+AF8AXw-1974+AF8-film+AF8-,0.4998838305,1,127.9130452395,63.9416630252
119,Amitabh+AF8-Bachchan,Kasauti,0.4276425838,1,109.4275546245,46.7958821985
120,Amitabh+AF8-Bachchan,Bada+AF8-Kabutar,0.489480406,1,125.2509593156,61.3078904177
121,Amitabh+AF8-Bachchan,Gehri+AF8-Chaal,0.4584923983,1,117.3215761491,53.7910508209
122,Amitabh+AF8-Bachchan,Kandahar+AF8AXw-2010+AF8-film+AF8-,0.4276425838,1,109.4275546245,46.7958821985
123,Amitabh+AF8-Bachchan,Rann+AF8AXw-film+AF8-,0.4161922038,1,106.4975679244,44.3234574938
124,Amitabh+AF8-Bachchan,Paa+AF8AXw-film+AF8-,0.5163173676,1,132.1181497983,68.214895316
125,Amitabh+AF8-Bachchan,Aladin+AF8AXw-2009+AF8-film+AF8-,0.4599933028,1,117.7056359115,54.1438042211
126,Amitabh+AF8-Bachchan,Saudagar+AF8AXw-1973+AF8-film+AF8-,0.5193655491,1,132.8981353756,69.0227130537
127,Amitabh+AF8-Bachchan,Aladin+AF8-2,0.8376525938,2,107.1715942667,89.7725639192
128,Amitabh+AF8-Bachchan,Taalismaan,0.4746642113,1,121.4597092945,57.652577117
129,Arthur+AF8-Miller,Marilyn+AF8-Monroe,0.9642308354,2,123.3663652877,118.9536534617
130,Arthur+AF8-Miller,Death+AF8-of+AF8-a+AF8-Salesman,0.4276426435,1,109.4275699008,46.7958952642
131,Arthur+AF8-Miller,Inge+AF8-Morath,0.4327291846,1,110.7291422305,47.9157314289
132,Arthur+AF8-Miller,The+AF8-Crucible,0.4687347114,1,119.9424359949,56.2211831207
133,Arthur+AF8-Miller,All+AF8-My+AF8-Sons,0.4276425838,1,109.4275546245,46.7958821985
134,Arthur+AF8-Miller,The+AF8-Misfits+AF8AXw-film+AF8-,0.4335804582,1,110.9469708376,48.1044384517
135,Arthur+AF8-Miller,A+AF8-View+AF8-from+AF8-the+AF8-Bridge,0.4249428511,1,108.7367320575,46.2068969398
136,Arthur+AF8-Miller,The+AF8-United+AF8-States+AF8-Steel+AF8-Hour,0.4276425838,1,109.4275546245,46.7958821985
137,Arthur+AF8-Miller,The+AF8-Crucible+AF8AXw-1996+AF8-film+AF8-,0.4276425838,1,109.4275546245,46.7958821985
138,Arthur+AF8-Miller,The+AF8-Crucible+AF8AXw-1957+AF8-film+AF8-,0.5086473227,1,130.1554961967,66.2032446752
139,Arthur+AF8-Miller,Let's+AF8-Make+AF8-Love,0.4581269622,1,117.2280663343,53.7053379143
140,Arthur+AF8-Miller,The+AF8-Price+AF8AXw-play+AF8-,0.4276425838,1,109.4275546245,46.7958821985
141,Arthur+AF8-Miller,Broken+AF8-Glass+AF8AXw-play+AF8-,0.4276426136,1,109.4275622499,46.7958887204
142,Arthur+AF8-Miller,Cavalcade+AF8-of+AF8-America,0.4143873155,1,106.0357231023,43.9398586435
143,Arthur+AF8-Miller,Focus+AF8AXw-film+AF8-,0.4318557382,1,110.5056399245,47.7224947048
144,Arthur+AF8-Miller,Difficult+AF8-Years,0.5098668337,1,130.4675514308,66.5210773486
145,Arthur+AF8-Miller,Death+AF8-of+AF8-a+AF8-Salesman+AF8AXw-1951+AF8-film+AF8-,0.4276425838,1,109.4275546245,46.7958821985
146,Arthur+AF8-Miller,All+AF8-My+AF8-Sons+AF8AXw-film+AF8-,0.5664188266,1,144.938388823,82.0958321264
147,Bulgaria,Bulgarian+AF8-language,0.4276425838,1,109.4275546245,46.7958821985
148,Benny+AF8-Andersson,Chess+AF8AXw-musical+AF8-,0.4536185265,1,116.0744228186,52.6535086433
149,Benny+AF8-Andersson,Mamma+AF8-Mia+AF8AXw-song+AF8-,0.4559272528,1,116.6651925008,53.1908407143
150,Benny+AF8-Andersson,Dancing+AF8-Queen,0.7662404776,1,196.0698604264,150.2366634961
151,Benny+AF8-Andersson,I+AF8-Know+AF8-Him+AF8-So+AF8-Well,0.3854900002,1,98.641317895,38.0252416551
152,Benny+AF8-Andersson,Waterloo+AF8AXw-ABBA+AF8-song+AF8-,0.4276425838,1,109.4275546245,46.7958821985
153,Benny+AF8-Andersson,Hung+AF8-Up,0.4554658234,1,116.5471193883,53.0832296971
154,Benny+AF8-Andersson,Super+AF8-Trouper+AF8AXw-song+AF8-,0.4315047562,1,110.4158287049,47.6449552459
155,Benny+AF8-Andersson,SOS+AF8AXw-ABBA+AF8-song+AF8-,0.4191691279,1,107.2593197632,44.9597955243
156,Benny+AF8-Andersson,Fernando+AF8AXw-song+AF8-,0.4858632088,1,124.3253708472,60.4051236151
157,Benny+AF8-Andersson,The+AF8-Name+AF8-of+AF8-the+AF8-Game,0.4474327564,1,114.4915736797,51.2272803961
158,Benny+AF8-Andersson,Chiquitita,0.4276425838,1,109.4275546245,46.7958821985
159,Benny+AF8-Andersson,One+AF8-of+AF8-Us+AF8AXw-ABBA+AF8-song+AF8-,0.4276425838,1,109.4275546245,46.7958821985
160,Benny+AF8-Andersson,Summer+AF8-Night+AF8-City,0.4143873155,1,106.0357231023,43.9398586435
161,Benny+AF8-Andersson,I+AF8-Have+AF8-a+AF8-Dream+AF8AXw-song+AF8-,0.4276425838,1,109.4275546245,46.7958821985
162,Benny+AF8-Andersson,Take+AF8-a+AF8-Chance+AF8-on+AF8-Me,0.4475468695,1,114.5207735723,51.253413705
163,Benny+AF8-Andersson,The+AF8-Winner+AF8-Takes+AF8-It+AF8-All,0.394610405,1,100.9750976267,39.8458241694
164,Benny+AF8-Andersson,Ring+AF8-Ring+AF8AXw-song+AF8-,0.4733930528,1,121.1344382119,57.3442015044
165,Benny+AF8-Andersson,Lay+AF8-All+AF8-Your+AF8-Love+AF8-on+AF8-Me,0.4852585793,1,124.1706548995,60.2548755873
166,Benny+AF8-Andersson,Klinga+AF8-mina+AF8-klockor,0.415419668,1,106.299887182,44.1590638416
167,Benny+AF8-Andersson,November+AF8-1989+AF8AXw-album+AF8-,0.4276425838,1,109.4275546245,46.7958821985
168,Benny+AF8-Andersson,Money+AF8-Money+AF8-Money,0.4350085258,1,111.3123926904,48.4218398475
169,Benny+AF8-Andersson,Knowing+AF8-Me+AF8-Knowing+AF8-You,0.4276425838,1,109.4275546245,46.7958821985
170,Benny+AF8-Andersson,Gimme+ACEAXw-Gimme+ACEAXw-Gimme+ACEAXwBf-A+AF8-Man+AF8-After+AF8-Midnight+AF8-,0.4214709699,1,107.8483278525,45.4549393421
171,Benny+AF8-Andersson,Voulez+AC0-Vous+AF8AXw-song+AF8-,0.4161922038,1,106.4975679244,44.3234574938
172,Benny+AF8-Andersson,One+AF8-Night+AF8-in+AF8-Bangkok,0.6395501494,1,163.6516370439,104.663428921
173,Benny+AF8-Andersson,Under+AF8-Attack,0.7169112563,1,183.4472258646,131.5153811593
174,Benny+AF8-Andersson,Does+AF8-Your+AF8-Mother+AF8-Know,0.4276425838,1,109.4275546245,46.7958821985
175,Benny+AF8-Andersson,Head+AF8-Over+AF8-Heels+AF8AXw-ABBA+AF8-song+AF8-,0.3952338398,1,101.1346255788,39.9718264042
176,Benny+AF8-Andersson,I+AF8-Do+AF8-I+AF8-Do+AF8-I+AF8-Do+AF8-I+AF8-Do+AF8-I+AF8-Do,0.4276425838,1,109.4275546245,46.7958821985
177,Benny+AF8-Andersson,The+AF8-Day+AF8-Before+AF8-You+AF8-Came,0.4318556786,1,110.5056246737,47.7224815326
178,Benny+AF8-Andersson,Eagle+AF8AXw-song+AF8-,0.0297011547,1,7.6000960883,0.2257316297
179,Benny+AF8-Andersson,He+AF8-Is+AF8-Your+AF8-Brother,0.4330238104,1,110.8045327132,47.9810009651
180,Benny+AF8-Andersson,Love+AF8-Isn't+AF8-Easy+AF8AXw-But+AF8-It+AF8-Sure+AF8-Is+AF8-Hard+AF8-Enough+AF8-,0.4276425838,1,109.4275546245,46.7958821985
181,Benny+AF8-Andersson,So+AF8-Long+AF8AXw-song+AF8-,0.4143873155,1,106.0357231023,43.9398586435
182,Benny+AF8-Andersson,Honey+AF8-Honey,0.4003387988,1,102.4409107828,41.0110711708
183,Benny+AF8-Andersson,Bang+AC0-A+AC0-Boomerang,0.5075819492,1,129.8828825205,65.9262066775
184,Benny+AF8-Andersson,Thank+AF8-You+AF8-for+AF8-the+AF8-Music,0.5185357928,1,132.6858127344,68.8023430996
185,Benny+AF8-Andersson,Angeleyes,0.3993825614,1,102.1962234568,40.8153894896
186,Benny+AF8-Andersson,Arrival+AF8AXw-instrumental+AF8-,0.4276425838,1,109.4275546245,46.7958821985
187,Benny+AF8-Andersson,Hasta+AF8-Ma+//0Aw//9ALE-ana,0.4065217078,1,104.0230278075,42.2876189148
188,Benny+AF8-Andersson,Mamma+AF8-Mia+ACEAXwBf-film+AF8-,0.4276425838,1,109.4275546245,46.7958821985
189,Benny+AF8-Andersson,The+AF8-Visitors+AF8AXw-song+AF8-,0.4276425838,1,109.4275546245,46.7958821985
190,Benny+AF8-Andersson,King+AF8-Kong+AF8-Song,0.4106097519,1,105.0690991905,43.142396751
191,Benny+AF8-Andersson,That's+AF8-Me+AF8AXw-song+AF8-,0.4458533823,1,114.0874346811,50.8662686305
192,Benny+AF8-Andersson,Nina+AF8-Pretty+AF8-Ballerina,0.4191691279,1,107.2593197632,44.9597955243
193,Benny+AF8-Andersson,Another+AF8-Town+AF8-Another+AF8-Train,0.4276425838,1,109.4275546245,46.7958821985
194,Benny+AF8-Andersson,Rock'n+AF8-Roll+AF8-Band,0.4483013153,1,114.7138253452,51.4263587854
195,Benny+AF8-Andersson,Rock+AF8-Me+AF8AXw-ABBA+AF8-song+AF8-,0.4917194843,1,125.8239070815,61.8700667027
196,Benny+AF8-Andersson,As+AF8-Good+AF8-as+AF8-New,0.4321557581,1,110.5824106794,47.7888255197
197,Benny+AF8-Andersson,Slipping+AF8-Through+AF8-My+AF8-Fingers,0.4276425838,1,109.4275546245,46.7958821985
198,Benny+AF8-Andersson,My+AF8-Love+AF8-My+AF8-Life+AF8AXw-song+AF8-,0.4338569939,1,111.0177323253,48.1658196162
199,Benny+AF8-Andersson,Like+AF8-An+AF8-Angel+AF8-Passing+AF8-Through+AF8-My+AF8-Room,0.4213554859,1,107.8187771665,45.4300332421
200,Benny+AF8-Andersson,Our+AF8-Last+AF8-Summer,0.4276425838,1,109.4275546245,46.7958821985
201,Benny+AF8-Andersson,En+AF8-Karusell,0.3854900301,1,98.641325546,38.0252475538
202,Benny+AF8-Andersson,Lycka,0.4276425838,1,109.4275546245,46.7958821985
203,Benny+AF8-Andersson,2nd+AF8-Best+AF8-to+AF8-None,0.4343757629,1,111.1504778124,48.2810735964
204,Bram+AF8-Stoker,Dracula,0.4423523545,1,113.1915722826,50.0705585088
205,Bram+AF8-Stoker,London,0.4081825912,1,104.4480238577,42.6338650239
206,Bram+AF8-Stoker,Nosferatu,0.4276425838,1,109.4275546245,46.7958821985
207,Bram+AF8-Stoker,Dracula+AF8AXw-1992+AF8-film+AF8-,0.4276425838,1,109.4275546245,46.7958821985
208,Bram+AF8-Stoker,Dracula+AF8AXw-1958+AF8-film+AF8-,0.4324305952,1,110.6527375199,47.8496291462
209,Bram+AF8-Stoker,Dracula+AF8AXw-1931+AF8-film+AF8-,0.4276425838,1,109.4275546245,46.7958821985
210,Bram+AF8-Stoker,The+AF8-Snake's+AF8-Pass,0.9184451699,1,235.0168407125,215.8500821976
211,Bram+AF8-Stoker,Mina+AF8-Harker,0.4276425838,1,109.4275546245,46.7958821985
212,Bram+AF8-Stoker,The+AF8-Jewel+AF8-of+AF8-Seven+AF8-Stars,0.4163707495,1,106.5432551877,44.3614950167
213,Bram+AF8-Stoker,The+AF8-Lair+AF8-of+AF8-the+AF8-White+AF8-Worm,0.4475468695,1,114.5207735723,51.253413705
214,Bram+AF8-Stoker,Dracula's+AF8-Daughter,0.4147056639,1,106.1171838554,44.0073971819
215,Bram+AF8-Stoker,Nosferatu+AF8-the+AF8-Vampyre,0.425277859,1,108.8224557358,46.2797809864
216,Bram+AF8-Stoker,Shadow+AF8-Builder,0.4276425838,1,109.4275546245,46.7958821985
217,Bram+AF8-Stoker,Jonathan+AF8-Harker,0.3956604898,1,101.2437991456,40.0581711591
218,Bram+AF8-Stoker,Count+AF8-Dracula+AF8AXw-1970+AF8-film+AF8-,0.4154526889,1,106.3083367529,44.1660843565
219,Bram+AF8-Stoker,Taste+AF8-the+AF8-Blood+AF8-of+AF8-Dracula,0.4276425838,1,109.4275546245,46.7958821985
220,Bram+AF8-Stoker,Florence+AF8-Balcombe,0.4169175923,1,106.6831843544,44.4780963599
221,Bram+AF8-Stoker,Under+AF8-the+AF8-Sunset,0.4276425838,1,109.4275546245,46.7958821985
222,Bram+AF8-Stoker,Dracula+AF8AXw-Spanish+AC0-language+AF8-version+AF8-,0.4276425838,1,109.4275546245,46.7958821985
223,Bram+AF8-Stoker,Dracula+AF8AXw-2006+AF8-film+AF8-,0.4372947514,1,111.8974047687,48.9321478006
224,Bram+AF8-Stoker,The+AF8-Awakening+AF8AXw-1980+AF8-film+AF8-,0.518904388,1,132.7801309172,68.9001925722
