Subject,Predicate,Object,stv,MturkTruth
concept:stadiumoreventvenue:st+AF8AXwBf-pete+AF8-times+AF8-forum,concept:stadiumlocatedincity,concept:city:tampa+AF8-bay,0.4470738173,1
concept:athlete:brian+AF8-urlacher,concept:athletecoach,concept:coach:lovie+AF8-smith,0.4976425838,0
concept:athlete:peyton+AF8-manning,concept:athletecoach,concept:coach:tony+AF8-dungy,0.4276426435,1
concept:athlete:pudge+AF8-rodriguez,concept:athleteplayssport,concept:sport:baseball,0.4402164221,1
concept:sportsteam:philadelphia+AF8-phillies,concept:teamplaysincity,concept:city:philadelphia,0.3957529068,1
concept:sportsteam:pittsburgh+AF8-penguins,concept:teamplaysincity,concept:city:pittsburgh,0.4305918813,1
concept:stadiumoreventvenue:us+AF8-airways+AF8-center,concept:stadiumlocatedincity,concept:city:phoenix,0.5623805523,1
concept:sportsteam:san+AF8-francisco+AF8-giants,concept:teamplaysincity,concept:city:san+AF8-francisco,0.4475468695,1
concept:sportsteam:san+AF8-diego+AF8-chargers,concept:teamplaysincity,concept:city:san+AF8-diego,0.4154197276,1
concept:sportsteam:oakland+AF8-raiders,concept:teamplaysincity,concept:city:oakland,0.4276425838,1
concept:athlete:paul+AF8-pierce,concept:athletecoach,concept:coach:doc+AF8-rivers,0.4254615903,1
concept:athlete:baldelli,concept:athleteplayssport,concept:sport:baseball,0.5763933659,1
concept:stadiumoreventvenue:dolphin+AF8-stadium,concept:stadiumlocatedincity,concept:city:miami,0.4065217078,1
concept:athlete:lenny+AF8-dykstra,concept:athleteplayssport,concept:sport:baseball,0.4091893435,1
concept:athlete:steve+AF8-garvey,concept:athleteplaysinleague,concept:sportsleague:mlb,0.4276425838,1
concept:athlete:dustin+AF8-pedroia,concept:athleteplaysforteam,concept:sportsteam:red+AF8-sox,0.4606230557,1
concept:sportsteam:new+AF8-england+AF8-patriots,concept:teamhomestadium,concept:stadiumoreventvenue:gillette+AF8-stadium,0.368374157,1
concept:personmexico:d+AF8-j+AF8AXw-mbenga,concept:coachesteam,concept:sportsteam:akron,0.3276425838,0
concept:personmexico:edinson+AF8-volquez,concept:athleteplaysinleague,concept:sportsleague:mlb,0.4722478986,1
concept:athlete:tom+AF8-glavine,concept:athleteplaysinleague,concept:sportsleague:mlb,0.3927882314,1
concept:sportsleague:nba,concept:leaguestadiums,concept:stadiumoreventvenue:oracle+AF8-arena,0.5164126754,1
concept:athlete:darrell+AF8-rasner,concept:athleteplayssport,concept:sport:baseball,0.4276425838,1
concept:personmexico:nick+AF8-punto,concept:athleteplaysinleague,concept:sportsleague:mlb,0.4276425838,1
concept:athlete:jesse+AF8-orosco,concept:athleteplayssport,concept:sport:baseball,0.4276425838,1
concept:athlete:joel+AF8-guzman,concept:athleteplaysinleague,concept:sportsleague:mlb,0.4940722883,1
concept:athlete:dwight+AF8-gooden,concept:athleteplayssport,concept:sport:baseball,0.4276425838,1
concept:sportsteam:dallas+AF8-cowboys,concept:teamplaysinleague,concept:sportsleague:nfl,0.4242300987,1
concept:sportsteam:tampa+AF8-bay+AF8-devil+AF8-rays,concept:teamhomestadium,concept:stadiumoreventvenue:tropicana+AF8-field,0.3927882314,1
concept:athlete:brian+AF8-shouse,concept:athleteplayssport,concept:sport:baseball,0.4396559894,1
concept:personmexico:chien+AF8-ming+AF8-wang,concept:athleteplayssport,concept:sport:baseball,0.4143873155,1
concept:athlete:edgar+AF8-martinez,concept:athleteplaysinleague,concept:sportsleague:mlb,0.4276425838,1
concept:athlete:alberto+AF8-arias,concept:athleteplaysinleague,concept:sportsleague:mlb,0.4049160779,1
concept:athlete:chris+AF8-resop,concept:athleteplaysinleague,concept:sportsleague:mlb,0.9446027279,1
concept:athlete:carl+AF8-landry,concept:athleteplaysforteam,concept:sportsteam:rockets,0.4365055859,1
concept:athlete:matt+AF8-wieters,concept:athleteplayssport,concept:sport:baseball,0.4402164221,1
concept:coach:john+AF8-buck,concept:athleteplaysinleague,concept:sportsleague:mlb,0.411786288,1
concept:sportsleague:nba,concept:leaguestadiums,concept:stadiumoreventvenue:american+AF8-airlines+AF8-center,0.4634473324,1
concept:coach:kevin+AF8-youkilis,concept:athleteplaysinleague,concept:sportsleague:mlb,0.4276426435,1
concept:athlete:rudy+AF8-gay,concept:athleteplaysforteam,concept:sportsteam:memphis+AF8-grizzlies,0.467041105,1
concept:athlete:matt+AF8-hasselbeck,concept:athleteledsportsteam,concept:sportsteam:seahawks,0.4463981986,1
concept:personmexico:jason+AF8-giambi,concept:athleteplaysforteam,concept:sportsteam:new+AF8-york+AF8-yankees,0.4276425838,1
concept:athlete:ichiro,concept:athleteplaysforteam,concept:sportsteam:seattle+AF8-mariners,0.4276425838,1
concept:sportsteam:chicago+AF8-cubs,concept:teamhomestadium,concept:stadiumoreventvenue:wrigley+AF8-field,0.4276425838,1
concept:athlete:jason+AF8-kapono,concept:athleteplaysforteam,concept:sportsteam:raptors,0.4116343558,1
concept:athlete:giambi,concept:athleteledsportsteam,concept:sportsteam:new+AF8-york+AF8-yankees,0.4474327564,1
concept:sportsteam:minnesota+AF8-vikings,concept:teamhomestadium,concept:stadiumoreventvenue:metrodome,0.4402164221,1
concept:athlete:sean+AF8-casey,concept:athleteplayssport,concept:sport:baseball,0.4276425838,1
concept:coach:rickie+AF8-weeks,concept:athleteplaysinleague,concept:sportsleague:mlb,0.4276425838,1
concept:male:yogi+AF8-berra,concept:athleteplayssport,concept:sport:baseball,0.3849399984,1
concept:personmexico:shane+AF8-victorino,concept:athleteplaysforteam,concept:sportsteam:phillies,0.5085251331,1
concept:athlete:derosa,concept:athleteledsportsteam,concept:sportsteam:chicago+AF8-cubs,0.4085102677,1
concept:athlete:tarvaris+AF8-jackson,concept:athleteledsportsteam,concept:sportsteam:minnesota+AF8-vikings,0.4203598499,1
concept:athlete:brett+AF8-myers,concept:athleteplayssport,concept:sport:baseball,0.427351743,1
concept:athlete:jim+AF8-rice,concept:athleteplaysforteam,concept:sportsteam:boston+AF8-red,0.5593721271,1
concept:personmexico:jay+AF8-gibbons,concept:athleteplaysforteam,concept:sportsteam:orioles,0.4276425838,1
concept:athlete:julio+AF8-franco,concept:athleteplayssport,concept:sport:baseball,0.4276425838,1
concept:sportsleague:ncaa,concept:leaguestadiums,concept:stadiumoreventvenue:jordan+AF8-hare+AF8-stadium,0.5163173676,1
concept:athlete:mike+AF8-dunleavy,concept:athleteledsportsteam,concept:sportsteam:pacers,0.4163707495,1
concept:athlete:willie+AF8-mcginest,concept:athleteplaysforteam,concept:sportsteam:new+AF8-york+AF8-giants,0.4276425838,1
concept:athlete:asdrubal+AF8-cabrera,concept:athleteplayssport,concept:sport:baseball,0.4191691279,1
concept:coach:mark+AF8-kotsay,concept:athleteplaysforteam,concept:sportsteam:atlanta+AF8-braves,0.4219606817,1
concept:athlete:andruw+AF8-jones,concept:athleteledsportsteam,concept:sportsteam:atlanta+AF8-braves,0.3854900002,1
concept:personmexico:michael+AF8-bourn,concept:athleteplaysforteam,concept:sportsteam:houston+AF8-astros,0.4276425838,1
concept:athlete:grady+AF8-sizemore,concept:athleteplaysinleague,concept:sportsleague:mlb,0.4276425838,1
concept:athlete:roberto+AF8-alomar,concept:athleteplayssport,concept:sport:baseball,0.5397354364,1
concept:athlete:tayshaun+AF8-prince,concept:athleteledsportsteam,concept:sportsteam:fort+AF8-wayne+AF8-pistons,0.4976425838,0
concept:athlete:a+AF8-j+AF8AXw-murray,concept:athleteplayssport,concept:sport:baseball,0.4386642873,1
concept:athlete:john+AF8-smoltz,concept:athleteplayssport,concept:sport:baseball,0.4276426733,1
concept:athlete:andruw+AF8-jones,concept:athleteplaysforteam,concept:sportsteam:atlanta+AF8-braves,0.4373797476,1
concept:sportsleague:nfl,concept:leaguestadiums,concept:stadiumoreventvenue:giants+AF8-stadium,0.4998838305,1
concept:athlete:brayan+AF8-pena,concept:athleteplaysinleague,concept:sportsleague:mlb,0.4276425838,1
concept:athlete:frank+AF8-francisco,concept:athleteledsportsteam,concept:sportsteam:rangers,0.489480406,1
concept:athlete:alan+AF8-embree,concept:athleteplayssport,concept:sport:baseball,0.4584923983,1
concept:athlete:rickey+AF8-henderson,concept:athleteplaysinleague,concept:sportsleague:mlb,0.4276425838,1
concept:athlete:hunter+AF8-pence,concept:athleteplaysinleague,concept:sportsleague:mlb,0.4161922038,1
concept:athlete:luke+AF8-walton,concept:athleteplaysforteam,concept:sportsteam:los+AF8-angeles+AF8-lakers,0.5163173676,1
concept:athlete:bruce+AF8-gradkowski,concept:athleteledsportsteam,concept:sportsteam:bucs,0.4599933028,0
concept:athlete:jeff+AF8-kent,concept:athleteledsportsteam,concept:sportsteam:dodgers,0.5193655491,1
concept:athlete:bill+AF8-mueller,concept:athleteplayssport,concept:sport:baseball,0.4260382354,1
concept:athlete:magglio+AF8-ordonez,concept:athleteplaysinleague,concept:sportsleague:mlb,0.4116143584,1
concept:personmexico:mark+AF8-loretta,concept:athleteplaysinleague,concept:sportsleague:mlb,0.4746642113,1
concept:athlete:daisuke+AF8-matsuzaka,concept:athleteplayssport,concept:sport:baseball,0.5098390579,1
concept:athlete:nicklas+AF8-lidstrom,concept:athleteplaysforteam,concept:sportsteam:red+AF8-wings,0.4276426435,1
concept:athlete:chris+AF8-narveson,concept:athleteplaysinleague,concept:sportsleague:mlb,0.4327291846,1
concept:personmexico:jack+AF8-wilson,concept:athleteplayssport,concept:sport:baseball,0.4687347114,1
concept:personmexico:todd+AF8-coffey,concept:athleteplayssport,concept:sport:baseball,0.4276425838,1
concept:sportsleague:mlb,concept:leaguestadiums,concept:stadiumoreventvenue:miller+AF8-park,0.4335804582,1
concept:sportsteam:cavaliers,concept:teamplaysinleague,concept:sportsleague:nba,0.4249428511,1
concept:athlete:eli+AF8-manning,concept:athletehomestadium,concept:stadiumoreventvenue:giants+AF8-stadium,0.4276425838,1
concept:athlete:felix+AF8-pie,concept:athleteplaysforteam,concept:sportsteam:chicago+AF8-cubs,0.4276425838,1
concept:sportsleague:mlb,concept:leaguestadiums,concept:stadiumoreventvenue:target+AF8-field,0.5086473227,1
concept:athlete:kelenna+AF8-azubuike,concept:athleteplaysforteam,concept:sportsteam:golden+AF8-state+AF8-warriors,0.4581269622,0
concept:athlete:garrett+AF8-olson,concept:athleteplaysinleague,concept:sportsleague:mlb,0.4276425838,1
concept:athlete:roger+AF8-clemens,concept:athleteplayssport,concept:sport:baseball,0.4276426136,1
concept:sportsteam:new+AF8-york+AF8-yankees,concept:teamplaysagainstteam,concept:sportsteam:atlanta+AF8-braves,0.4143873155,1
concept:sportsteam:philadelphia+AF8-phillies,concept:teamplaysinleague,concept:sportsleague:mlb,0.4318557382,1
concept:athlete:fernando+AF8-abad,concept:athleteplaysforteam,concept:sportsteam:new+AF8-york+AF8-mets,0.5098668337,0
concept:personmexico:jason+AF8-giambi,concept:athleteledsportsteam,concept:sportsteam:new+AF8-york+AF8-yankees,0.4276425838,1
concept:athlete:kerry+AF8-wood,concept:athleteplayssport,concept:sport:baseball,0.5664188266,1
concept:athlete:andre+AF8-ethier,concept:athleteplayssport,concept:sport:baseball,0.4276425838,1
concept:athlete:rex+AF8-grossman,concept:athleteplaysforteam,concept:sportsteam:n1985+AF8-chicago+AF8-bears,0.4736185265,0
concept:athlete:gregor+AF8-blanco,concept:athleteplaysinleague,concept:sportsleague:mlb,0.4559272528,1
concept:coach:brian+AF8-burres,concept:athleteplayssport,concept:sport:baseball,0.7662404776,1
concept:athlete:justin+AF8-verlander,concept:athleteplayssport,concept:sport:baseball,0.3854900002,1
concept:athlete:joel+AF8-guzman,concept:athleteplayssport,concept:sport:baseball,0.4276425838,1
concept:athlete:chad+AF8-pennington,concept:athleteledsportsteam,concept:sportsteam:new+AF8-york+AF8-jets,0.4554658234,1
concept:athlete:jake+AF8-delhomme,concept:athleteledsportsteam,concept:sportsteam:carolina,0.4315047562,1
concept:sportsleague:mlb,concept:leaguestadiums,concept:stadiumoreventvenue:ameriquest+AF8-field,0.4191691279,1
concept:athlete:neal+AF8-cotts,concept:athleteplayssport,concept:sport:baseball,0.4858632088,1
concept:personmexico:alfredo+AF8-amezaga,concept:athleteplaysinleague,concept:sportsleague:mlb,0.4474327564,1
concept:athlete:maddux,concept:athleteplayssport,concept:sport:baseball,0.4276425838,1
concept:coach:tom+AF8-gorzelanny,concept:athleteplayssport,concept:sport:baseball,0.4276425838,1
concept:athlete:matt+AF8-lawton,concept:athleteplayssport,concept:sport:baseball,0.4143873155,1
concept:sportsleague:nba,concept:leaguestadiums,concept:stadiumoreventvenue:quicken+AF8-loans+AF8-arena,0.4276425838,1
concept:sportsteam:iowa+AF8-state,concept:teamplaysinleague,concept:sportsleague:ncaa,0.4475468695,1
concept:personmexico:jay+AF8-bruce,concept:athleteplayssport,concept:sport:baseball,0.394610405,1
concept:athlete:mo+AF8-vaughn,concept:athleteplayssport,concept:sport:baseball,0.4733930528,1
concept:athlete:miguel+AF8-tejada,concept:athleteplaysinleague,concept:sportsleague:mlb,0.4852585793,1
concept:athlete:peyton+AF8-manning,concept:athletehomestadium,concept:stadiumoreventvenue:lucas+AF8-oil+AF8-stadium,0.415419668,1
concept:sportsteam:st+AF8-louis+AF8-cardinals,concept:teamhomestadium,concept:stadiumoreventvenue:busch+AF8-memorial+AF8-stadium,0.4276425838,1
concept:coach:mark+AF8-hendrickson,concept:athleteplaysinleague,concept:sportsleague:mlb,0.4350085258,1
concept:athlete:damon+AF8-huard,concept:athleteplaysforteam,concept:sportsteam:kansas+AF8-city+AF8-chiefs,0.4976425838,0
concept:personmexico:mark+AF8-grudzielanek,concept:athleteplaysinleague,concept:sportsleague:mlb,0.4214709699,1
concept:coach:john+AF8-maine,concept:athleteplaysinleague,concept:sportsleague:mlb,0.4161922038,1
concept:personmexico:adam+AF8-everett,concept:athleteplayssport,concept:sport:baseball,0.6395501494,1
concept:coach:randor+AF8-bierd,concept:athleteplaysinleague,concept:sportsleague:mlb,0.7169112563,1
concept:athlete:jeff+AF8-francoeur,concept:athleteplaysinleague,concept:sportsleague:mlb,0.4276425838,1
concept:athlete:david+AF8-justice,concept:athleteplaysforteam,concept:sportsteam:atlanta+AF8-braves,0.3952338398,1
concept:athlete:taylor+AF8-tankersley,concept:athleteplaysinleague,concept:sportsleague:mlb,0.4276425838,1
concept:athlete:zito,concept:athleteplayssport,concept:sport:baseball,0.4318556786,1
concept:athlete:chris+AF8-young,concept:athleteplayssport,concept:sport:baseball,0.0297011547,1
concept:athlete:tony+AF8-sipp,concept:athleteplayssport,concept:sport:baseball,0.4330238104,1
concept:athlete:kurt+AF8-busch,concept:athleteledsportsteam,concept:sportsteam:baltimore+AF8-colts,0.4476425838,0
concept:athlete:kirby+AF8-puckett,concept:athleteplaysinleague,concept:sportsleague:mlb,0.4143873155,1
concept:coach:ryan+AF8-ludwick,concept:athleteplaysforteam,concept:sportsteam:louis+AF8-cardinals,0.4003387988,0
concept:personmexico:jim+AF8-jackson,concept:athleteledsportsteam,concept:sportsteam:knicks,0.8075819492,0
concept:personmexico:d+AF8-j+AF8AXw-mbenga,concept:athleteplaysforteam,concept:sportsteam:colorado+AF8-rockies,0.5185357928,1
concept:coach:ryan+AF8-spilborghs,concept:athleteplaysinleague,concept:sportsleague:mlb,0.3993825614,1
concept:athlete:jarrod+AF8-washburn,concept:athleteplaysinleague,concept:sportsleague:mlb,0.4276425838,1
concept:athlete:chris+AF8-bosh,concept:athleteledsportsteam,concept:sportsteam:raptors,0.4065217078,1
concept:athlete:bernie+AF8-williams,concept:athleteplaysinleague,concept:sportsleague:mlb,0.4276425838,1
concept:athlete:nick+AF8-blackburn,concept:athleteplaysinleague,concept:sportsleague:mlb,0.4276425838,1
concept:sportsleague:mlb,concept:leaguestadiums,concept:stadiumoreventvenue:kauffman+AF8-stadium,0.4106097519,1
concept:athlete:buster+AF8-posey,concept:athleteplayssport,concept:sport:baseball,0.4458533823,1
concept:personmexico:scott+AF8-olsen,concept:athleteplaysinleague,concept:sportsleague:mlb,0.4191691279,1
concept:athlete:chuck+AF8-knoblauch,concept:athleteplayssport,concept:sport:baseball,0.4276425838,1
concept:athlete:prince+AF8-fielder,concept:athleteplaysinleague,concept:sportsleague:mlb,0.4483013153,1
concept:athlete:kerry+AF8-collins,concept:athleteplaysforteam,concept:sportsteam:titans,0.3917194843,0
concept:sportsteam:new+AF8-orleans+AF8-hornets,concept:teamplaysinleague,concept:sportsleague:nba,0.4321557581,1
concept:athlete:jesse+AF8-carlson,concept:athleteplaysinleague,concept:sportsleague:mlb,0.4276425838,1
concept:athlete:scott+AF8-baker,concept:athleteplayssport,concept:sport:baseball,0.4338569939,1
concept:athlete:ryan+AF8-madson,concept:athleteplaysinleague,concept:sportsleague:mlb,0.4213554859,1
concept:athlete:michael+AF8-finley,concept:athleteledsportsteam,concept:sportsteam:spurs,0.4276425838,1
concept:sportsleague:nba,concept:leaguestadiums,concept:stadiumoreventvenue:us+AF8-airways+AF8-center,0.3854900301,1
concept:athlete:freddy+AF8-garcia,concept:athleteplaysinleague,concept:sportsleague:mlb,0.4276425838,1
concept:athlete:greg+AF8-oden,concept:athleteledsportsteam,concept:sportsteam:suns,0.4343757629,1
concept:athlete:rex+AF8-grossman,concept:athleteledsportsteam,concept:sportsteam:n1985+AF8-chicago+AF8-bears,0.4242352355,0
concept:athlete:jeremy,concept:athleteplaysforteam,concept:sportsteam:new+AF8-york+AF8-giants,0.4081825912,1
concept:athlete:jeff+AF8-fassero,concept:athleteplayssport,concept:sport:baseball,0.4276425838,1
concept:coach:geoff+AF8-jenkins,concept:athleteplayssport,concept:sport:baseball,0.4276425838,1
concept:personmexico:corey+AF8-hart,concept:athleteplayssport,concept:sport:baseball,0.4324305952,1
concept:athlete:jamario+AF8-moon,concept:athleteledsportsteam,concept:sportsteam:raptors,0.4276425838,1
concept:athlete:jeff+AF8-clement,concept:athleteplayssport,concept:sport:baseball,0.9184451699,1
concept:personasia:rick+AF8-ankiel,concept:athleteplaysforteam,concept:sportsteam:louis+AF8-cardinals,0.4276425838,0
concept:athlete:mike+AF8-myers,concept:athleteplayssport,concept:sport:baseball,0.4163707495,1
concept:athlete:ramon+AF8-troncoso,concept:athleteplayssport,concept:sport:baseball,0.4475468695,1
concept:athlete:jamie+AF8-moyer,concept:athleteplayssport,concept:sport:baseball,0.4147056639,1
concept:athlete:andre+AF8-ethier,concept:athleteplaysinleague,concept:sportsleague:mlb,0.425277859,1
concept:athlete:brian+AF8-bass,concept:athleteplaysinleague,concept:sportsleague:mlb,0.4276425838,1
concept:athlete:juan+AF8-abreu,concept:athleteplayssport,concept:sport:baseball,0.3956604898,1
concept:sport:baseball,concept:sportusesstadium,concept:stadiumoreventvenue:great+AF8-american+AF8-ball+AF8-park,0.4154526889,1
concept:athlete:adam+AF8-russell,concept:athleteplayssport,concept:sport:baseball,0.4276425838,1
concept:personmexico:esteban+AF8-german,concept:athleteplaysinleague,concept:sportsleague:mlb,0.4169175923,1
concept:athlete:kelly+AF8-johnson,concept:athleteplaysforteam,concept:sportsteam:atlanta+AF8-braves,0.4276425838,1
concept:athlete:matt+AF8-laporta,concept:athleteplayssport,concept:sport:baseball,0.4276425838,1
concept:personmexico:oliver+AF8-perez,concept:athleteplayssport,concept:sport:baseball,0.4372947514,1
concept:athlete:babe+AF8-ruth,concept:athleteplaysinleague,concept:sportsleague:mlb,0.518904388,1
concept:athlete:nate+AF8-mclouth,concept:athleteplayssport,concept:sport:baseball,0.4146519899,1
concept:athlete:jon+AF8-lieber,concept:athleteplaysinleague,concept:sportsleague:mlb,0.4163707495,1
concept:sportsteam:golden+AF8-state+AF8-warriors,concept:teamplaysinleague,concept:sportsleague:nba,0.4584923685,1
concept:sport:baseball,concept:sportusesstadium,concept:stadiumoreventvenue:progressive+AF8-field,0.5082922578,1
concept:athlete:hideki+AF8-matsui,concept:athleteledsportsteam,concept:sportsteam:new+AF8-york+AF8-yankees,0.4276425838,1
concept:athlete:jared+AF8-reiner,concept:athleteledsportsteam,concept:sportsteam:los+AF8-angeles+AF8-lakers,0.4246966338,0
concept:sportsteam:milwaukee+AF8-bucks,concept:teamplaysinleague,concept:sportsleague:nba,0.3909313977,1
concept:personeurope:james+AF8-mcdonald,concept:athleteplaysinleague,concept:sportsleague:mlb,0.5318651795,1
concept:athlete:kirk+AF8-gibson,concept:athleteplaysinleague,concept:sportsleague:mlb,0.4257438481,1
concept:athlete:ryan+AF8-madson,concept:athleteplayssport,concept:sport:baseball,0.4634473324,1
concept:personmexico:josh+AF8-willingham,concept:athleteplaysforteam,concept:sportsteam:marlins,0.6693912745,1
concept:athlete:mike+AF8-myers,concept:athleteplaysinleague,concept:sportsleague:mlb,0.4338114262,1
concept:athlete:taylor+AF8-tankersley,concept:athleteplayssport,concept:sport:baseball,0.5478828549,1
concept:athlete:jesse+AF8-litsch,concept:athleteplayssport,concept:sport:baseball,0.4464122653,1
concept:athlete:brian+AF8-shouse,concept:athleteplaysinleague,concept:sportsleague:mlb,0.4168947935,1
concept:athlete:john+AF8-smoltz,concept:athleteplaysinleague,concept:sportsleague:mlb,0.4276425838,1
concept:athlete:joe+AF8-blanton,concept:athleteplayssport,concept:sport:baseball,0.4276425838,1
concept:athlete:zito,concept:athleteplaysinleague,concept:sportsleague:mlb,0.4063877165,1
concept:athlete:david+AF8-ortiz,concept:athleteledsportsteam,concept:sportsteam:red+AF8-sox,0.4259463549,1
concept:athlete:anibal+AF8-sanchez,concept:athleteplaysinleague,concept:sportsleague:mlb,0.4248486161,1
concept:sportsteam:orioles,concept:teamhomestadium,concept:stadiumoreventvenue:camden+AF8-yards,0.5163174272,1
concept:athlete:orlando+AF8-hern+AF8-ndez,concept:athleteplaysinleague,concept:sportsleague:mlb,0.2276425838,1
concept:personmexico:chris+AF8-iannetta,concept:athleteplayssport,concept:sport:baseball,0.4634473324,1
concept:sportsteam:michigan+AF8-state+AF8-spartans,concept:teamplaysinleague,concept:sportsleague:ncaa,0.4276426435,1
concept:athlete:michael+AF8-redd,concept:athleteplaysforteam,concept:sportsteam:bucks,0.4106097817,1
concept:athlete:mike+AF8-schmidt,concept:athleteplaysinleague,concept:sportsleague:mlb,0.442545557,0
concept:sportsteam:new+AF8-york+AF8-jets,concept:teamplaysinleague,concept:sportsleague:nfl,0.4276425838,1
