ID,Subject,Predicate,Object,MturkTruth,Sub_par_Pred,Sub_Pred,Obj_par_Pred,Obj_Pred,Sub_Obj,Strength
201436,concept:sportsteam:cavaliers,concept:teamplaysincity,concept:city:cleveland,1,29,1,29,2,1,87
201432,concept:stadiumoreventvenue:cleveland_browns_stadium,concept:stadiumlocatedincity,concept:city:cleveland,0,26,1,26,2,1,78
201427,concept:stadiumoreventvenue:paul_brown_stadium,concept:stadiumlocatedincity,concept:city:cincinnati,1,26,1,26,2,1,78
201885,concept:stadiumoreventvenue:staples_center,concept:stadiumlocatedincity,concept:city:los_angeles,1,26,1,26,1,1,52
201958,concept:sportsteam:marlins,concept:teamplaysincity,concept:city:miami,1,29,1,29,1,1,58
201889,concept:sportsteam:clippers,concept:teamplaysincity,concept:city:los_angeles,1,29,1,29,2,1,87
201734,concept:stadiumoreventvenue:minute_maid_park,concept:stadiumlocatedincity,concept:city:houston,1,26,1,26,1,1,52
201421,concept:sportsteam:bengals,concept:teamplaysincity,concept:city:cincinnati,1,29,1,29,2,1,87
201417,concept:sportsteam:reds,concept:teamplaysincity,concept:city:cincinnati,1,29,1,29,2,1,87
201544,concept:sportsteam:mavericks,concept:teamplaysincity,concept:city:dallas,1,29,1,29,1,1,58
201946,concept:stadiumoreventvenue:fedex_forum,concept:stadiumlocatedincity,concept:city:memphis,1,26,1,26,1,1,52
201942,concept:sportsteam:memphis_grizzlies,concept:teamplaysincity,concept:city:memphis,1,29,1,29,1,1,58
201411,concept:stadiumoreventvenue:wrigley_field,concept:stadiumlocatedincity,concept:city:chicago,1,26,1,26,3,1,104
201446,concept:stadiumoreventvenue:quicken_loans_arena,concept:stadiumlocatedincity,concept:city:cleveland,1,26,1,26,2,1,78
201578,concept:stadiumoreventvenue:joe_louis_arena,concept:stadiumlocatedincity,concept:city:detroit,1,26,1,26,1,1,52
201408,concept:sportsteam:chicago_cubs,concept:teamplaysincity,concept:city:chicago,1,29,1,29,4,1,145
201439,concept:sportsteam:cleveland_browns,concept:teamplaysincity,concept:city:cleveland,1,29,1,29,2,1,87
201545,concept:stadiumoreventvenue:american_airlines_center,concept:stadiumlocatedincity,concept:city:dallas,1,26,1,26,1,1,52
202337,concept:stadiumoreventvenue:mellon_arena,concept:stadiumlocatedincity,concept:city:pittsburgh,1,26,1,26,2,1,78
203126,concept:sportsteam:boston_celtics,concept:organizationhiredperson,concept:coach:doc_rivers,1,1,1,1,1,1,2
202891,concept:stadiumoreventvenue:verizon_center,concept:stadiumlocatedincity,concept:city:washington_d_c,1,26,1,26,1,1,52
202907,concept:sportsteam:capitals,concept:teamplaysincity,concept:city:washington_d_c,1,29,1,29,1,1,58
202439,concept:stadiumoreventvenue:petco_park,concept:stadiumlocatedincity,concept:city:san_diego,1,26,1,26,1,1,52
202451,concept:stadiumoreventvenue:candlestick_park,concept:stadiumlocatedincity,concept:city:san_francisco,1,26,1,26,1,1,52
202340,concept:stadiumoreventvenue:heinz_field,concept:stadiumlocatedincity,concept:city:pittsburgh,1,26,1,26,2,1,78
202343,concept:sportsteam:steelers,concept:teamplaysincity,concept:city:pittsburgh,1,29,1,29,2,1,87
203325,concept:athlete:carson_palmer,concept:athletecoach,concept:coach:marvin_lewis,1,4,1,4,1,1,8
202306,concept:stadiumoreventvenue:citizen_bank_park,concept:stadiumlocatedincity,concept:city:philadelphia,1,26,1,26,1,1,52
202227,concept:stadiumoreventvenue:mcafee_coliseum,concept:stadiumlocatedincity,concept:city:oakland,1,26,1,26,1,1,52
208186,concept:athlete:cleon_jones,concept:athleteplayssport,concept:sport:baseball,1,374,1,509,509,1,259455
202324,concept:sportsteam:suns,concept:teamplaysincity,concept:city:phoenix,1,29,1,29,1,1,58
202596,concept:sportsteam:buccaneers,concept:teamplaysincity,concept:city:tampa_bay,1,29,1,29,1,1,58
202593,concept:stadiumoreventvenue:st___pete_times_forum,concept:stadiumlocatedincity,concept:city:tampa_bay,1,26,1,26,1,1,52
203304,concept:athlete:brian_urlacher,concept:athletecoach,concept:coach:lovie_smith,0,4,1,4,1,1,8
203558,concept:athlete:peyton_manning,concept:athletecoach,concept:coach:tony_dungy,1,4,1,4,1,1,8
208187,concept:athlete:pudge_rodriguez,concept:athleteplayssport,concept:sport:baseball,1,374,1,509,509,1,259455
202291,concept:sportsteam:philadelphia_phillies,concept:teamplaysincity,concept:city:philadelphia,1,29,1,29,1,1,58
202338,concept:sportsteam:pittsburgh_penguins,concept:teamplaysincity,concept:city:pittsburgh,1,29,1,29,2,1,87
202326,concept:stadiumoreventvenue:us_airways_center,concept:stadiumlocatedincity,concept:city:phoenix,1,26,1,26,1,1,52
202457,concept:sportsteam:san_francisco_giants,concept:teamplaysincity,concept:city:san_francisco,1,29,1,29,1,1,58
202440,concept:sportsteam:san_diego_chargers,concept:teamplaysincity,concept:city:san_diego,1,29,1,29,1,1,58
202222,concept:sportsteam:oakland_raiders,concept:teamplaysincity,concept:city:oakland,1,29,1,29,1,1,58
203127,concept:athlete:paul_pierce,concept:athletecoach,concept:coach:doc_rivers,1,4,1,4,1,1,8
208185,concept:athlete:baldelli,concept:athleteplayssport,concept:sport:baseball,1,374,1,509,509,1,259455
201961,concept:stadiumoreventvenue:dolphin_stadium,concept:stadiumlocatedincity,concept:city:miami,1,26,1,26,1,1,52
208768,concept:athlete:lenny_dykstra,concept:athleteplayssport,concept:sport:baseball,1,374,1,509,509,1,259455
211419,concept:athlete:steve_garvey,concept:athleteplaysinleague,concept:sportsleague:mlb,1,374,1,509,509,1,259455
219635,concept:athlete:dustin_pedroia,concept:athleteplaysforteam,concept:sportsteam:red_sox,1,179,1,228,12,2,1457.5
221174,concept:sportsteam:new_england_patriots,concept:teamhomestadium,concept:stadiumoreventvenue:gillette_stadium,1,97,1,97,1,1,194
213849,concept:personmexico:d_j__mbenga,concept:coachesteam,concept:sportsteam:akron,0,3,1,23,1,2,13
211535,concept:personmexico:edinson_volquez,concept:athleteplaysinleague,concept:sportsleague:mlb,1,92,1,509,509,1,259173
211921,concept:athlete:tom_glavine,concept:athleteplaysinleague,concept:sportsleague:mlb,1,374,1,509,509,1,259455
221363,concept:sportsleague:nba,concept:leaguestadiums,concept:stadiumoreventvenue:oracle_arena,1,83,23,83,1,1,1992
208977,concept:athlete:darrell_rasner,concept:athleteplayssport,concept:sport:baseball,1,374,1,509,509,1,259455
211901,concept:personmexico:nick_punto,concept:athleteplaysinleague,concept:sportsleague:mlb,1,92,1,509,509,1,259173
208202,concept:athlete:jesse_orosco,concept:athleteplayssport,concept:sport:baseball,1,374,1,509,509,1,259455
211640,concept:athlete:joel_guzman,concept:athleteplaysinleague,concept:sportsleague:mlb,1,374,1,509,509,1,259455
208558,concept:athlete:dwight_gooden,concept:athleteplayssport,concept:sport:baseball,1,374,1,509,509,1,259455
213623,concept:sportsteam:dallas_cowboys,concept:teamplaysinleague,concept:sportsleague:nfl,1,88,1,88,20,1,1848
221558,concept:sportsteam:tampa_bay_devil_rays,concept:teamhomestadium,concept:stadiumoreventvenue:tropicana_field,1,97,1,97,2,1,291
208866,concept:athlete:brian_shouse,concept:athleteplayssport,concept:sport:baseball,1,374,1,509,509,1,259455
208897,concept:personmexico:chien_ming_wang,concept:athleteplayssport,concept:sport:baseball,1,92,1,509,509,1,259173
211550,concept:athlete:edgar_martinez,concept:athleteplaysinleague,concept:sportsleague:mlb,1,374,1,509,509,1,259455
211423,concept:athlete:alberto_arias,concept:athleteplaysinleague,concept:sportsleague:mlb,1,374,1,509,509,1,259455
211426,concept:athlete:chris_resop,concept:athleteplaysinleague,concept:sportsleague:mlb,1,374,1,509,509,1,259455
219765,concept:athlete:carl_landry,concept:athleteplaysforteam,concept:sportsteam:rockets,1,179,1,228,4,2,545.5
208213,concept:athlete:matt_wieters,concept:athleteplayssport,concept:sport:baseball,1,374,1,509,509,1,259455
211715,concept:coach:john_buck,concept:athleteplaysinleague,concept:sportsleague:mlb,1,35,1,509,509,1,259116
220979,concept:sportsleague:nba,concept:leaguestadiums,concept:stadiumoreventvenue:american_airlines_center,1,83,23,83,1,1,1992
211995,concept:coach:kevin_youkilis,concept:athleteplaysinleague,concept:sportsleague:mlb,1,35,1,509,509,1,259116
216543,concept:athlete:rudy_gay,concept:athleteplaysforteam,concept:sportsteam:memphis_grizzlies,1,179,1,228,1,2,203.5
220041,concept:athlete:matt_hasselbeck,concept:athleteledsportsteam,concept:sportsteam:seahawks,1,179,1,229,2,2,318.5
218134,concept:personmexico:jason_giambi,concept:athleteplaysforteam,concept:sportsteam:new_york_yankees,1,30,1,228,14,2,1611
220101,concept:athlete:ichiro,concept:athleteplaysforteam,concept:sportsteam:seattle_mariners,1,179,1,228,3,2,431.5
221606,concept:sportsteam:chicago_cubs,concept:teamhomestadium,concept:stadiumoreventvenue:wrigley_field,1,97,1,97,2,1,291
219350,concept:athlete:jason_kapono,concept:athleteplaysforteam,concept:sportsteam:raptors,1,179,1,228,7,2,887.5
218098,concept:athlete:giambi,concept:athleteledsportsteam,concept:sportsteam:new_york_yankees,1,179,1,229,14,3,1128.3333333333
221301,concept:sportsteam:minnesota_vikings,concept:teamhomestadium,concept:stadiumoreventvenue:metrodome,1,97,1,97,2,1,291
208613,concept:athlete:sean_casey,concept:athleteplayssport,concept:sport:baseball,1,374,1,509,509,1,259455
211974,concept:coach:rickie_weeks,concept:athleteplaysinleague,concept:sportsleague:mlb,1,35,1,509,509,1,259116
208683,concept:male:yogi_berra,concept:athleteplayssport,concept:sport:baseball,1,3,1,509,509,1,259084
218702,concept:personmexico:shane_victorino,concept:athleteplaysforteam,concept:sportsteam:phillies,1,30,1,228,1,2,129
214888,concept:athlete:derosa,concept:athleteledsportsteam,concept:sportsteam:chicago_cubs,1,179,1,229,5,2,662
216657,concept:athlete:tarvaris_jackson,concept:athleteledsportsteam,concept:sportsteam:minnesota_vikings,1,179,1,229,1,2,204
209003,concept:athlete:brett_myers,concept:athleteplayssport,concept:sport:baseball,1,374,1,509,509,1,259455
214369,concept:athlete:jim_rice,concept:athleteplaysforteam,concept:sportsteam:boston_red,1,179,1,228,1,2,203.5
218444,concept:personmexico:jay_gibbons,concept:athleteplaysforteam,concept:sportsteam:orioles,1,30,1,228,2,2,243
209363,concept:athlete:julio_franco,concept:athleteplayssport,concept:sport:baseball,1,374,1,509,509,1,259455
221233,concept:sportsleague:ncaa,concept:leaguestadiums,concept:stadiumoreventvenue:jordan_hare_stadium,1,83,10,83,1,1,913
218494,concept:athlete:mike_dunleavy,concept:athleteledsportsteam,concept:sportsteam:pacers,1,179,1,229,1,2,204
217848,concept:athlete:willie_mcginest,concept:athleteplaysforteam,concept:sportsteam:new_york_giants,1,179,1,228,4,2,545.5
208863,concept:athlete:asdrubal_cabrera,concept:athleteplayssport,concept:sport:baseball,1,374,1,509,509,1,259455
213973,concept:coach:mark_kotsay,concept:athleteplaysforteam,concept:sportsteam:atlanta_braves,1,9,1,228,6,3,459
213992,concept:athlete:andruw_jones,concept:athleteledsportsteam,concept:sportsteam:atlanta_braves,1,179,1,229,6,2,776.5
215775,concept:personmexico:michael_bourn,concept:athleteplaysforteam,concept:sportsteam:houston_astros,1,30,1,228,4,2,471
212001,concept:athlete:grady_sizemore,concept:athleteplaysinleague,concept:sportsleague:mlb,1,374,1,509,509,1,259455
209055,concept:athlete:roberto_alomar,concept:athleteplayssport,concept:sport:baseball,1,374,1,509,509,1,259455
215569,concept:athlete:tayshaun_prince,concept:athleteledsportsteam,concept:sportsteam:fort_wayne_pistons,0,179,1,229,2,2,318.5
209342,concept:athlete:a_j__murray,concept:athleteplayssport,concept:sport:baseball,1,374,1,509,509,1,259455
208915,concept:athlete:john_smoltz,concept:athleteplayssport,concept:sport:baseball,1,374,1,509,509,1,259455
213993,concept:athlete:andruw_jones,concept:athleteplaysforteam,concept:sportsteam:atlanta_braves,1,179,1,228,6,2,773.5
221171,concept:sportsleague:nfl,concept:leaguestadiums,concept:stadiumoreventvenue:giants_stadium,1,83,19,83,1,1,1660
211838,concept:athlete:brayan_pena,concept:athleteplaysinleague,concept:sportsleague:mlb,1,374,1,509,509,1,259455
219254,concept:athlete:frank_francisco,concept:athleteledsportsteam,concept:sportsteam:rangers,1,179,1,229,2,2,318.5
208692,concept:athlete:alan_embree,concept:athleteplayssport,concept:sport:baseball,1,374,1,509,509,1,259455
211547,concept:athlete:rickey_henderson,concept:athleteplaysinleague,concept:sportsleague:mlb,1,374,1,509,509,1,259455
211830,concept:athlete:hunter_pence,concept:athleteplaysinleague,concept:sportsleague:mlb,1,374,1,509,509,1,259455
216193,concept:athlete:luke_walton,concept:athleteplaysforteam,concept:sportsteam:los_angeles_lakers,1,179,1,228,8,2,1001.5
214538,concept:athlete:bruce_gradkowski,concept:athleteledsportsteam,concept:sportsteam:bucs,0,179,1,229,1,2,204
215333,concept:athlete:jeff_kent,concept:athleteledsportsteam,concept:sportsteam:dodgers,1,179,1,229,5,2,662
208192,concept:athlete:bill_mueller,concept:athleteplayssport,concept:sport:baseball,1,374,1,509,509,1,259455
211871,concept:athlete:magglio_ordonez,concept:athleteplaysinleague,concept:sportsleague:mlb,1,374,1,509,509,1,259455
211567,concept:personmexico:mark_loretta,concept:athleteplaysinleague,concept:sportsleague:mlb,1,92,1,509,509,1,259173
208881,concept:athlete:daisuke_matsuzaka,concept:athleteplayssport,concept:sport:baseball,1,374,1,509,509,1,259455
219743,concept:athlete:nicklas_lidstrom,concept:athleteplaysforteam,concept:sportsteam:red_wings,1,179,1,228,2,1,635
211675,concept:athlete:chris_narveson,concept:athleteplaysinleague,concept:sportsleague:mlb,1,374,1,509,509,1,259455
208735,concept:personmexico:jack_wilson,concept:athleteplayssport,concept:sport:baseball,1,92,1,509,509,1,259173
209341,concept:personmexico:todd_coffey,concept:athleteplayssport,concept:sport:baseball,1,92,1,509,509,1,259173
221311,concept:sportsleague:mlb,concept:leaguestadiums,concept:stadiumoreventvenue:miller_park,1,83,28,83,1,1,2407
212401,concept:sportsteam:cavaliers,concept:teamplaysinleague,concept:sportsleague:nba,1,88,1,88,27,1,2464
221169,concept:athlete:eli_manning,concept:athletehomestadium,concept:stadiumoreventvenue:giants_stadium,1,8,1,11,1,1,19
214897,concept:athlete:felix_pie,concept:athleteplaysforteam,concept:sportsteam:chicago_cubs,1,179,1,228,5,2,659.5
221526,concept:sportsleague:mlb,concept:leaguestadiums,concept:stadiumoreventvenue:target_field,1,83,28,83,1,1,2407
215654,concept:athlete:kelenna_azubuike,concept:athleteplaysforteam,concept:sportsteam:golden_state_warriors,0,179,1,228,2,2,317.5
212010,concept:athlete:garrett_olson,concept:athleteplaysinleague,concept:sportsleague:mlb,1,374,1,509,509,1,259455
209343,concept:athlete:roger_clemens,concept:athleteplayssport,concept:sport:baseball,1,374,1,509,509,1,259455
213985,concept:sportsteam:new_york_yankees,concept:teamplaysagainstteam,concept:sportsteam:atlanta_braves,1,2,1,2,1,1,4
212091,concept:sportsteam:philadelphia_phillies,concept:teamplaysinleague,concept:sportsleague:mlb,1,88,1,88,27,1,2464
217965,concept:athlete:fernando_abad,concept:athleteplaysforteam,concept:sportsteam:new_york_mets,0,179,1,228,8,3,667.6666666667
218099,concept:personmexico:jason_giambi,concept:athleteledsportsteam,concept:sportsteam:new_york_yankees,1,30,1,229,14,2,1618
208920,concept:athlete:kerry_wood,concept:athleteplayssport,concept:sport:baseball,1,374,1,509,509,1,259455
208540,concept:athlete:andre_ethier,concept:athleteplayssport,concept:sport:baseball,1,374,1,509,509,1,259455
216774,concept:athlete:rex_grossman,concept:athleteplaysforteam,concept:sportsteam:n1985_chicago_bears,0,179,1,228,3,2,431.5
211691,concept:athlete:gregor_blanco,concept:athleteplaysinleague,concept:sportsleague:mlb,1,374,1,509,509,1,259455
208950,concept:coach:brian_burres,concept:athleteplayssport,concept:sport:baseball,1,35,1,509,509,1,259116
209041,concept:athlete:justin_verlander,concept:athleteplayssport,concept:sport:baseball,1,374,1,509,509,1,259455
208591,concept:athlete:joel_guzman,concept:athleteplayssport,concept:sport:baseball,1,374,1,509,509,1,259455
217921,concept:athlete:chad_pennington,concept:athleteledsportsteam,concept:sportsteam:new_york_jets,1,179,1,229,4,2,547.5
214656,concept:athlete:jake_delhomme,concept:athleteledsportsteam,concept:sportsteam:carolina,1,179,1,229,1,2,204
220983,concept:sportsleague:mlb,concept:leaguestadiums,concept:stadiumoreventvenue:ameriquest_field,1,83,28,83,1,1,2407
208928,concept:athlete:neal_cotts,concept:athleteplayssport,concept:sport:baseball,1,374,1,509,509,1,259455
211693,concept:personmexico:alfredo_amezaga,concept:athleteplaysinleague,concept:sportsleague:mlb,1,92,1,509,509,1,259173
208769,concept:athlete:maddux,concept:athleteplayssport,concept:sport:baseball,1,374,1,509,509,1,259455
209064,concept:coach:tom_gorzelanny,concept:athleteplayssport,concept:sport:baseball,1,35,1,509,509,1,259116
208603,concept:athlete:matt_lawton,concept:athleteplayssport,concept:sport:baseball,1,374,1,509,509,1,259455
221411,concept:sportsleague:nba,concept:leaguestadiums,concept:stadiumoreventvenue:quicken_loans_arena,1,83,23,83,1,1,1992
213123,concept:sportsteam:iowa_state,concept:teamplaysinleague,concept:sportsleague:ncaa,1,88,1,88,11,1,1056
208583,concept:personmexico:jay_bruce,concept:athleteplayssport,concept:sport:baseball,1,92,1,509,509,1,259173
208607,concept:athlete:mo_vaughn,concept:athleteplayssport,concept:sport:baseball,1,374,1,509,509,1,259455
211569,concept:athlete:miguel_tejada,concept:athleteplaysinleague,concept:sportsleague:mlb,1,374,1,509,509,1,259455
221272,concept:athlete:peyton_manning,concept:athletehomestadium,concept:stadiumoreventvenue:lucas_oil_stadium,1,8,1,11,1,1,19
221048,concept:sportsteam:st_louis_cardinals,concept:teamhomestadium,concept:stadiumoreventvenue:busch_memorial_stadium,1,97,1,97,3,1,388
211557,concept:coach:mark_hendrickson,concept:athleteplaysinleague,concept:sportsleague:mlb,1,35,1,509,509,1,259116
215932,concept:athlete:damon_huard,concept:athleteplaysforteam,concept:sportsteam:kansas_city_chiefs,0,179,1,228,1,2,203.5
211582,concept:personmexico:mark_grudzielanek,concept:athleteplaysinleague,concept:sportsleague:mlb,1,92,1,509,509,1,259173
211716,concept:coach:john_maine,concept:athleteplaysinleague,concept:sportsleague:mlb,1,35,1,509,509,1,259116
208718,concept:personmexico:adam_everett,concept:athleteplayssport,concept:sport:baseball,1,92,1,509,509,1,259173
211601,concept:coach:randor_bierd,concept:athleteplaysinleague,concept:sportsleague:mlb,1,35,1,509,509,1,259116
211922,concept:athlete:jeff_francoeur,concept:athleteplaysinleague,concept:sportsleague:mlb,1,374,1,509,509,1,259455
213958,concept:athlete:david_justice,concept:athleteplaysforteam,concept:sportsteam:atlanta_braves,1,179,1,228,6,2,773.5
211760,concept:athlete:taylor_tankersley,concept:athleteplaysinleague,concept:sportsleague:mlb,1,374,1,509,509,1,259455
208824,concept:athlete:zito,concept:athleteplayssport,concept:sport:baseball,1,374,1,509,509,1,259455
208873,concept:athlete:chris_young,concept:athleteplayssport,concept:sport:baseball,1,374,1,509,509,1,259455
209084,concept:athlete:tony_sipp,concept:athleteplayssport,concept:sport:baseball,1,374,1,509,509,1,259455
214026,concept:athlete:kurt_busch,concept:athleteledsportsteam,concept:sportsteam:baltimore_colts,0,179,1,229,3,2,433
211520,concept:athlete:kirby_puckett,concept:athleteplaysinleague,concept:sportsleague:mlb,1,374,1,509,509,1,259455
216241,concept:coach:ryan_ludwick,concept:athleteplaysforteam,concept:sportsteam:louis_cardinals,0,9,1,228,6,2,688.5
216040,concept:personmexico:jim_jackson,concept:athleteledsportsteam,concept:sportsteam:knicks,0,30,1,229,4,2,473
215065,concept:personmexico:d_j__mbenga,concept:athleteplaysforteam,concept:sportsteam:colorado_rockies,1,30,1,228,4,2,471
211811,concept:coach:ryan_spilborghs,concept:athleteplaysinleague,concept:sportsleague:mlb,1,35,1,509,509,1,259116
211777,concept:athlete:jarrod_washburn,concept:athleteplaysinleague,concept:sportsleague:mlb,1,374,1,509,509,1,259455
219362,concept:athlete:chris_bosh,concept:athleteledsportsteam,concept:sportsteam:raptors,1,179,1,229,7,2,891
211523,concept:athlete:bernie_williams,concept:athleteplaysinleague,concept:sportsleague:mlb,1,374,1,509,509,1,259455
211791,concept:athlete:nick_blackburn,concept:athleteplaysinleague,concept:sportsleague:mlb,1,374,1,509,509,1,259455
221237,concept:sportsleague:mlb,concept:leaguestadiums,concept:stadiumoreventvenue:kauffman_stadium,1,83,28,83,1,1,2407
208546,concept:athlete:buster_posey,concept:athleteplayssport,concept:sport:baseball,1,374,1,509,509,1,259455
211742,concept:personmexico:scott_olsen,concept:athleteplaysinleague,concept:sportsleague:mlb,1,92,1,509,509,1,259173
208196,concept:athlete:chuck_knoblauch,concept:athleteplayssport,concept:sport:baseball,1,374,1,509,509,1,259455
211965,concept:athlete:prince_fielder,concept:athleteplaysinleague,concept:sportsleague:mlb,1,374,1,509,509,1,259455
220623,concept:athlete:kerry_collins,concept:athleteplaysforteam,concept:sportsteam:titans,0,179,1,228,2,2,317.5
212416,concept:sportsteam:new_orleans_hornets,concept:teamplaysinleague,concept:sportsleague:nba,1,88,1,88,27,1,2464
211736,concept:athlete:jesse_carlson,concept:athleteplaysinleague,concept:sportsleague:mlb,1,374,1,509,509,1,259455
208941,concept:athlete:scott_baker,concept:athleteplayssport,concept:sport:baseball,1,374,1,509,509,1,259455
211950,concept:athlete:ryan_madson,concept:athleteplaysinleague,concept:sportsleague:mlb,1,374,1,509,509,1,259455
220212,concept:athlete:michael_finley,concept:athleteledsportsteam,concept:sportsteam:spurs,1,179,1,229,2,2,318.5
221576,concept:sportsleague:nba,concept:leaguestadiums,concept:stadiumoreventvenue:us_airways_center,1,83,23,83,1,1,1992
211690,concept:athlete:freddy_garcia,concept:athleteplaysinleague,concept:sportsleague:mlb,1,374,1,509,509,1,259455
220392,concept:athlete:greg_oden,concept:athleteledsportsteam,concept:sportsteam:suns,1,179,1,229,4,2,547.5
216755,concept:athlete:rex_grossman,concept:athleteledsportsteam,concept:sportsteam:n1985_chicago_bears,0,179,1,229,4,2,547.5
217814,concept:athlete:jeremy,concept:athleteplaysforteam,concept:sportsteam:new_york_giants,1,179,1,228,4,2,545.5
209104,concept:athlete:jeff_fassero,concept:athleteplayssport,concept:sport:baseball,1,374,1,509,509,1,259455
208622,concept:coach:geoff_jenkins,concept:athleteplayssport,concept:sport:baseball,1,35,1,509,509,1,259116
208730,concept:personmexico:corey_hart,concept:athleteplayssport,concept:sport:baseball,1,92,1,509,509,1,259173
219363,concept:athlete:jamario_moon,concept:athleteledsportsteam,concept:sportsteam:raptors,1,179,1,229,7,2,891
208573,concept:athlete:jeff_clement,concept:athleteplayssport,concept:sport:baseball,1,374,1,509,509,1,259455
216283,concept:personasia:rick_ankiel,concept:athleteplaysforteam,concept:sportsteam:louis_cardinals,0,4,1,228,6,3,457.3333333333
209600,concept:athlete:mike_myers,concept:athleteplayssport,concept:sport:baseball,1,374,1,509,509,1,259455
208935,concept:athlete:ramon_troncoso,concept:athleteplayssport,concept:sport:baseball,1,374,1,509,509,1,259455
209013,concept:athlete:jamie_moyer,concept:athleteplayssport,concept:sport:baseball,1,374,1,509,509,1,259455
211968,concept:athlete:andre_ethier,concept:athleteplaysinleague,concept:sportsleague:mlb,1,374,1,509,509,1,259455
211975,concept:athlete:brian_bass,concept:athleteplaysinleague,concept:sportsleague:mlb,1,374,1,509,509,1,259455
209111,concept:athlete:juan_abreu,concept:athleteplayssport,concept:sport:baseball,1,374,1,509,509,1,259455
221179,concept:sport:baseball,concept:sportusesstadium,concept:stadiumoreventvenue:great_american_ball_park,1,8,8,8,1,1,72
208628,concept:athlete:adam_russell,concept:athleteplayssport,concept:sport:baseball,1,374,1,509,509,1,259455
211841,concept:personmexico:esteban_german,concept:athleteplaysinleague,concept:sportsleague:mlb,1,92,1,509,509,1,259173
213971,concept:athlete:kelly_johnson,concept:athleteplaysforteam,concept:sportsteam:atlanta_braves,1,179,1,228,6,2,773.5
208602,concept:athlete:matt_laporta,concept:athleteplayssport,concept:sport:baseball,1,374,1,509,509,1,259455
209032,concept:personmexico:oliver_perez,concept:athleteplayssport,concept:sport:baseball,1,92,1,509,509,1,259173
211639,concept:athlete:babe_ruth,concept:athleteplaysinleague,concept:sportsleague:mlb,1,374,1,509,509,1,259455
208787,concept:athlete:nate_mclouth,concept:athleteplayssport,concept:sport:baseball,1,374,1,509,509,1,259455
211696,concept:athlete:jon_lieber,concept:athleteplaysinleague,concept:sportsleague:mlb,1,374,1,509,509,1,259455
212406,concept:sportsteam:golden_state_warriors,concept:teamplaysinleague,concept:sportsleague:nba,1,88,1,88,27,1,2464
221402,concept:sport:baseball,concept:sportusesstadium,concept:stadiumoreventvenue:progressive_field,1,8,8,8,1,1,72
218109,concept:athlete:hideki_matsui,concept:athleteledsportsteam,concept:sportsteam:new_york_yankees,1,179,1,229,14,2,1692.5
216136,concept:athlete:jared_reiner,concept:athleteledsportsteam,concept:sportsteam:los_angeles_lakers,0,179,1,229,8,2,1005.5
212245,concept:sportsteam:milwaukee_bucks,concept:teamplaysinleague,concept:sportsleague:nba,1,88,1,88,27,1,2464
211554,concept:personeurope:james_mcdonald,concept:athleteplaysinleague,concept:sportsleague:mlb,1,1,1,509,509,1,259082
211545,concept:athlete:kirk_gibson,concept:athleteplaysinleague,concept:sportsleague:mlb,1,374,1,509,509,1,259455
209057,concept:athlete:ryan_madson,concept:athleteplayssport,concept:sport:baseball,1,374,1,509,509,1,259455
